DEPTH,CMRP_3MS,CMFF,BVI
4690.5,0.34962,0.26392,0.08571
4691,0.34649,0.24695,0.09953
4691.5,0.34975,0.24232,0.10744
4692,0.351855,0.251635,0.10023
4692.5,0.35396,0.26095,0.09302
4693,0.35753,0.27615,0.08139
4693.5,0.3597,0.2762,0.0835
4694,0.35802,0.27599,0.08203
4694.5,0.3504,0.27684,0.07356
4695,0.34742,0.27217,0.07525
4695.5,0.34444,0.2675,0.07694
4696,0.34251,0.25294,0.08957
4696.5,0.33973,0.24607,0.09365
4697,0.33476,0.2469,0.08787
4697.5,0.32732,0.24465,0.08267
4698,0.327915,0.241805,0.086105
4698.5,0.32851,0.23896,0.08954
4699,0.33906,0.23377,0.10529
4699.5,0.35532,0.23231,0.12301
4700,0.3672,0.2354,0.1318
4700.5,0.37533,0.2423,0.13303
4701,0.379705,0.24786,0.13185
4701.5,0.38408,0.25342,0.13067
4702,0.39025,0.26294,0.12731
4702.5,0.39206,0.26453,0.12753
4703,0.38952,0.26212,0.12739
4703.5,0.38045,0.25893,0.12152
4704,0.372505,0.255195,0.11731
4704.5,0.36456,0.25146,0.1131
4705,0.35343,0.24664,0.10679
4705.5,0.34988,0.24853,0.10135
4706,0.35089,0.24912,0.10177
4706.5,0.35182,0.24686,0.10495
4707,0.352495,0.24668,0.10581
4707.5,0.35317,0.2465,0.10667
4708,0.35606,0.25037,0.10568
4708.5,0.36418,0.26949,0.09469
4709,0.37803,0.29572,0.08232
4709.5,0.39334,0.3117,0.08164
4710,0.397805,0.312455,0.08535
4710.5,0.40227,0.31321,0.08906
4711,0.40259,0.30975,0.09284
4711.5,0.38992,0.30531,0.08462
4712,0.37354,0.29932,0.07423
4712.5,0.36585,0.28973,0.07613
4713,0.363895,0.284165,0.07973
4713.5,0.36194,0.2786,0.08333
4714,0.34941,0.26881,0.08061
4714.5,0.33421,0.25971,0.0745
4715,0.32506,0.25408,0.07098
4715.5,0.32448,0.25295,0.07153
4716,0.32835,0.25309,0.07526
4716.5,0.33222,0.25323,0.07899
4717,0.34111,0.2488,0.09231
4717.5,0.34491,0.24663,0.09828
4718,0.35095,0.25353,0.09742
4718.5,0.36159,0.26749,0.0941
4719,0.36711,0.27528,0.09183
4719.5,0.37263,0.28307,0.08956
4720,0.38165,0.29611,0.08554
4720.5,0.38292,0.30402,0.07891
4721,0.38077,0.30773,0.07304
4721.5,0.37897,0.30996,0.06901
4722,0.376395,0.310495,0.0659
4722.5,0.37382,0.31103,0.06279
